#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                5896.345319579355     All      0.95797431266187          0.06613300625488705       -0.47060896959396636      -0.3115031710883897        
Zeropoint     AB|PS|PS_r                4235.930798142579     All      -0.19974872729662585      0.5093684736349857        1.458251336811467         0.2960578612621442         
Zeropoint     AB|PS|PS_i                5130.629600469113     All      0.7002235676865146        0.31624454726806306       -0.5920366612611416       -0.1514944765508886        
Zeropoint     AB|PS|PS_g                3335.5568783301387    All      -0.4692805989560329       0.10706707634451362       -0.3998448343060734       0.16989216058651938        
Check         All|All|All               All                   All      0.9891685540957259        0.9988131035024495        -0.004239128349714516     0.002952374209385239       
Lambda        AB|PS|PS_z                5896.345319579355     All      -0.0006339793042670679    -7.693086440879225e-05    -0.0006288914833038341    0.0001533844647054236      
Lambda        AB|PS|PS_r                4235.930798142579     All      -0.00048194308832464      0.00010586936182749331    -0.001191635026074847     0.0001382926552377457      
Lambda        AB|PS|PS_i                5130.629600469113     All      5.339204343622115e-05     7.162986362698444e-05     -0.0014109598153759502    -5.7023998213596714e-05    
Lambda        AB|PS|PS_g                3335.5568783301387    All      -0.0009739985391811046    0.00020468722094146803    -0.0011736680250203633    0.00033156131618722567     
MWEBV         All|All|All               All                   All      -0.497621001221656        -2.3891486979842114       -0.2373146400686199       -0.6267230626879337        
Redshift      All|All|All               All                   All      3.6186477373484442        0.2187929886838802        -0.2797128783939784       -1.1199268446268857        
