#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5011.61313969471      All      1.443417739487471          0.5537999748849387         1.0979013511202953        -0.24078347866418628      
Zeropoint     AB|PS|PS_z                5759.566365320821     All      0.6290241495121707         0.038957297265085344       -0.49171012778649065      -0.21414695105988096      
Zeropoint     AB|PS|PS_r                4137.668882756187     All      -0.5127376296418282        0.2606207564070928         -0.6468426237529913       0.22304265361392878       
Zeropoint     AB|PS|PS_g                3258.1811554102323    All      -0.5655703757828023        0.14536310609365444        0.04643207287498268       0.23364647422160567       
Check         All|All|All               All                   All      0.9941338835750112         0.9987411346507713         0.005780672455796103      0.0017586981114671718     
Lambda        AB|PS|PS_i                5011.61313969471      All      -0.00010828017856572518    -3.1934384331516085e-05    -0.001719736369356267     -5.187559881680767e-05    
Lambda        AB|PS|PS_z                5759.566365320821     All      -0.00011409026475621217    4.522180209151521e-06      0.0003957606477275422     5.629695560392084e-05     
Lambda        AB|PS|PS_r                4137.668882756187     All      -0.0003636071394852561     0.00013498113703122776     -0.0007273600668937011    0.00012994786558698593    
Lambda        AB|PS|PS_g                3258.1811554102323    All      -0.0012256825291177692     0.0003118720637707029      6.0474175715057194e-05    0.0005035307996617052     
MWEBV         All|All|All               All                   All      -0.4679051556813223        -2.284316265446762         0.0687261090619693        -0.5885979260012867       
Redshift      All|All|All               All                   All      8.38179494995759           1.326304360013708          9.307035084730696         -1.8828751737250085       
