#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                5873.231773449617     All      0.37161759904641656        0.02628147752368193       -0.8950094756532393        -0.1524274982694555       
Zeropoint     AB|PS|PS_g                3322.4815675067302    All      -0.6895474650468042        0.15457663018949575       0.010998454773344744       0.27544979919877793       
Zeropoint     AB|PS|PS_i                5110.517643397796     All      1.5350270474476846         0.48252570607285605       1.7500082785475959         -0.26473948117713614      
Zeropoint     AB|PS|PS_r                4219.326041026314     All      -0.22229392595626873       0.3355135922431529        -0.855478591303575         0.14352017954098759       
Check         All|All|All               All                   All      0.9948032554910281         0.9988974060291866        0.01051866636412635        0.0018029992931738736     
Lambda        AB|PS|PS_z                5873.231773449617     All      -0.00019964075258391734    -7.602343396951513e-06    0.0006673307177473738      9.233313274213552e-05     
Lambda        AB|PS|PS_g                3322.4815675067302    All      -0.001070482176658773      0.0002353629526284993     -0.00014110931415218936    0.0004190596590385741     
Lambda        AB|PS|PS_i                5110.517643397796     All      0.00018901386410313665     0.00010975132370369245    -0.000277268339676555      -3.819162962056425e-05    
Lambda        AB|PS|PS_r                4219.326041026314     All      -0.0004077011158932214     0.00011245572257949883    -0.001646084537289172      9.597500223586438e-05     
MWEBV         All|All|All               All                   All      -0.5373743480788595        -2.3578280819561925       0.08598603874966405        -0.589144510282941        
Redshift      All|All|All               All                   All      3.7066232960414918         0.38068518266793916       -0.5602339452598634        -1.108368131555099        
