Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 56536.006978127276 1.2194573809738984
Redshift 0.0736 0 F
Color 0.08081299109820622 0.04678029121306861
X0 0.0006168804969324641 5.253643202711677e-05
X1 1.099148553219424 0.3074815956256859
RestFrameMag_0_UX 18.333820044168046 0.0
RestFrameMag_0_B 18.667569142519778 0.0924663798001382
RestFrameMag_0_V 18.55204789315862 0.0
RestFrameMag_0_R 18.53733736979037 0.0
CovDayMaxDayMax 1.4870763040117199 -1
CovDayMaxRestFrameMag_0_B 0.09443507596844135 -1
CovDayMaxX1 -0.20262470484019546 -1
CovDayMaxColor 0.04094349574232649 -1
CovRestFrameMag_0_BDayMax 0.09443507596844139 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.008550031393343404 -1
CovRestFrameMag_0_BX1 -0.005625044356025165 -1
CovRestFrameMag_0_BColor 0.004017615172777127 -1
CovX1DayMax -0.20262470484019546 -1
CovX1RestFrameMag_0_B -0.005625044356025161 -1
CovX1X1 0.09454493164851782 -1
CovX1Color -0.003352001582687535 -1
CovColorDayMax 0.04094349574232648 -1
CovColorRestFrameMag_0_B 0.004017615172777126 -1
CovColorX1 -0.0033520015826875352 -1
CovColorColor 0.002188395645979505 -1

dmu_estimate 0.08694925368379718
FirstPhase  0.5538229999292634
LastPhase  31.19692797384879
LatestNegPhase  1000
EarliestPosPhase  0.5538229999292634
NightsNegPhase  0
NightsPosPhase  10

salt3source   1
salt2_version   salt3-f22
