#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8183.607769422068     All      0.228580041481753         -0.032480338364138106      0.21165535246093653       -0.07559074806473708      
Zeropoint     AB|SDSS|SDSS_r            5676.087132567669     All      0.3679361867253522        0.7162486682002367         -1.9966967031638263       0.024353430990697155      
Zeropoint     AB|SDSS|SDSS_g            4343.829909443146     All      -0.6866958896271501       0.5925254946209435         0.11903708161614651       0.42199656821808007       
Zeropoint     AB|SDSS|SDSS_u            3303.4242191009876    All      -0.06813325245386573      0.07012841274800508        0.22253014081978498       0.054966871170743115      
Zeropoint     AB|SDSS|SDSS_i            6883.247727231684     All      1.150039671300805         -0.33764453155455953       1.4248837292390581        -0.42100167164482527      
Check         All|All|All               All                   All      0.9917267574268941        1.0087777056504876         -0.01859039902789994      0.004724450669958025      
Lambda        AB|SDSS|SDSS_z            8183.607769422068     All      1.4510168712893889e-05    1.1905634882168707e-05     1.9197138831104513e-05    8.297781477568878e-09     
Lambda        AB|SDSS|SDSS_r            5676.087132567669     All      -0.0001865879747111619    -2.9057558863951617e-06    -0.0011504452960858938    8.492251876546996e-06     
Lambda        AB|SDSS|SDSS_g            4343.829909443146     All      -0.0005923153245076809    0.000408343356850548       -0.000673926168641427     0.00029587322353562       
Lambda        AB|SDSS|SDSS_u            3303.4242191009876    All      -6.530950535011033e-05    6.705020451613672e-05      0.00021976815460061455    5.2921155389749594e-05    
Lambda        AB|SDSS|SDSS_i            6883.247727231684     All      -0.0007709828983971394    9.850069543185449e-05      -0.00152108828398816      0.0002153402276620899     
MWEBV         All|All|All               All                   All      -0.713204510064676        -3.658113373833416         0.3642975454093871        -0.9429967752598221       
Redshift      All|All|All               All                   All      6.890256732405335         -1.1899821962375157        11.587889124956           -2.1148853806266708       
