#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7351.349552810432     All      0.13625149111263363        -0.047945652583081255     0.4292746592224419         -0.040842513153824214      
Zeropoint     AB|SDSS|SDSS_g            3902.0702069308218    All      -0.9301153631708764        0.3584842856419357        0.8744714865268635         0.45876294542898777        
Zeropoint     AB|SDSS|SDSS_i            6183.233792134878     All      1.3693910188900231         -0.2259254256728127       1.1305393712107585         -0.469196270588587         
Zeropoint     AB|SDSS|SDSS_r            5098.839262510398     All      0.43517374021995003        0.8955687927297618        -2.3279753673192087        0.04607896651044955        
Check         All|All|All               All                   All      1.0107008870517304         0.9801820001158035        0.10631014964085539        -0.005196871802973867      
Lambda        AB|SDSS|SDSS_z            7351.349552810432     All      -4.658646769686769e-05     1.6034338607764006e-05    -0.00020424813759676403    1.1283000473574925e-05     
Lambda        AB|SDSS|SDSS_g            3902.0702069308218    All      -0.0011099073082762312     0.0003335603669126397     0.0004622943878080337      0.0004908149857715217      
Lambda        AB|SDSS|SDSS_i            6183.233792134878     All      -0.00042291787843747194    7.311114771067702e-05     -0.0014404304150495608     9.729317892063816e-05      
Lambda        AB|SDSS|SDSS_r            5098.839262510398     All      -0.00019404562805243553    6.941652036194077e-05     -0.0029339231927681736     -4.5109227685623296e-05    
MWEBV         All|All|All               All                   All      -0.5614548972939439        -3.1838827520601853       0.03296824698536345        -0.8527398061658784        
Redshift      All|All|All               All                   All      8.227152994008966          -0.29128777303668585      15.266561371166063         -2.093459888988893         
