Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53658.98666866277 0.3907949713935336
Redshift 0.1754 0 F
Color -0.04057202840744852 0.03466477361299075
X0 0.00011355570325810868 4.792720840392285e-06
X1 -0.8469162812075061 0.3686842911794265
RestFrameMag_0_UX 20.108036050894853 0.0
RestFrameMag_0_B 20.50557442244457 0.04582447544607265
RestFrameMag_0_V 20.531005593723872 0.0
RestFrameMag_0_R 20.549376623626785 0.0
CovDayMaxDayMax 0.15272070966647275 -1
CovDayMaxRestFrameMag_0_B 0.008180597742911322 -1
CovDayMaxX1 0.014221331198350985 -1
CovDayMaxColor 0.003485558099807847 -1
CovRestFrameMag_0_BDayMax 0.00818059774291133 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.002099882549907715 -1
CovRestFrameMag_0_BX1 0.010781111004901353 -1
CovRestFrameMag_0_BColor 0.00113698538768943 -1
CovX1DayMax 0.014221331198351044 -1
CovX1RestFrameMag_0_B 0.01078111100490135 -1
CovX1X1 0.13592810656247617 -1
CovX1Color 0.00505551149941835 -1
CovColorDayMax 0.00348555809980785 -1
CovColorRestFrameMag_0_B 0.0011369853876894297 -1
CovColorX1 0.005055511499418349 -1
CovColorColor 0.0012016465296399 -1

dmu_estimate 0.08773171907030586
FirstPhase  -11.73711133467256
LastPhase  39.20254325100251
LatestNegPhase  -3.30189013337996
EarliestPosPhase  4.372996713650669
NightsNegPhase  2
NightsPosPhase  10

salt3source   1
salt2_version   salt3-f22
