#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5103.489437462803     All      0.7649889319362986        0.33009056895103583        -0.848873057777548         -0.17954201039113576      
Zeropoint     AB|SDSS|SDSS_g            3905.6289206310576    All      -1.0417479229224815       0.579963330843114          0.19067618281915083        0.5367537103621561        
Zeropoint     AB|SDSS|SDSS_i            6188.872942032474     All      1.1771764470075619        0.08264458691051857        0.5362625324218286         -0.3325941020049683       
Zeropoint     AB|SDSS|SDSS_z            7358.054031966737     All      0.09772955863376902       0.00612284578345168        0.12560116312984732        -0.024234317101475        
Check         All|All|All               All                   All      0.9981470146551478        0.9988213324881201         0.0036668205932788855      0.00038328086457706245    
Lambda        AB|SDSS|SDSS_r            5103.489437462803     All      -0.0001555781786132639    -5.47190406065182e-05      -0.0015593394126159996     -3.673301678229521e-05    
Lambda        AB|SDSS|SDSS_g            3905.6289206310576    All      -0.000826879930483823     0.00033656641182808054     -0.001248119414688678      0.0003232749128663045     
Lambda        AB|SDSS|SDSS_i            6188.872942032474     All      -0.0003048907794706193    -3.5335417330406614e-05    -0.00045614059682104273    6.744758969893479e-05     
Lambda        AB|SDSS|SDSS_z            7358.054031966737     All      -2.014704063834146e-05    -9.896999024121128e-07     -2.113166744615859e-05     5.297166871597923e-06     
MWEBV         All|All|All               All                   All      -0.586111589647897        -3.1784197642522827        0.09507057516650458        -0.8401574937480699       
Redshift      All|All|All               All                   All      5.447350141611249         0.9433317792666429         0.07232564057606111        -1.463879397259181        
