#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3844.7967114777057    All      -0.9834467010384687       0.5315180715594892         0.017476026778945546       0.4942537421064083        
Zeropoint     AB|SDSS|SDSS_i            6092.478015406315     All      1.2310343848872856        0.0869654410891485         -0.347748713192834         -0.38817932166304736      
Zeropoint     AB|SDSS|SDSS_r            5023.999925483899     All      0.5809441800708822        0.373916094763338          -0.16127176537829888       -0.07463267660077239      
Zeropoint     AB|SDSS|SDSS_z            7243.4484995594385    All      0.16844015389570657       0.0062322604291509265      0.49395640327185764        -0.0307934417649222       
Check         All|All|All               All                   All      0.9969720178154057        0.9986318678411266         0.0024119514796703267      0.0006483020776663767     
Lambda        AB|SDSS|SDSS_g            3844.7967114777057    All      -0.001398890510632305     0.0005281413826219791      -0.0012717936627827042     0.0005709433750661412     
Lambda        AB|SDSS|SDSS_i            6092.478015406315     All      3.282014512065143e-05     -2.9540962898321707e-05    -0.00012912618428756508    -2.607537305093471e-05    
Lambda        AB|SDSS|SDSS_r            5023.999925483899     All      4.504176363103116e-05     -5.9151073886525726e-05    -0.0008844433465153742     -7.340767947562318e-05    
Lambda        AB|SDSS|SDSS_z            7243.4484995594385    All      -3.283433068674794e-05    -2.0544398577503008e-06    -0.00013168217852192304    4.149652238271721e-06     
MWEBV         All|All|All               All                   All      -0.5430421103032002       -3.1108779027404054        0.13030712692938004        -0.8306135882892118       
Redshift      All|All|All               All                   All      6.274854861500602         0.8450938295093025         12.097516304817491         -1.2287952111502618       
