Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54021.40968888021 0.14354110687157437
Redshift 0.107221 0 F
Color 0.05258236944451686 0.01604787851549615
X0 0.0002981915255845232 6.025802409466453e-06
X1 -0.6785686205690304 0.11369121432085104
RestFrameMag_0_UX 19.16338682926165 0.0
RestFrameMag_0_B 19.45727596686351 0.021940368110233328
RestFrameMag_0_V 19.386575708580843 0.0
RestFrameMag_0_R 19.356312685311384 0.0
CovDayMaxDayMax 0.020604049361916732 -1
CovDayMaxRestFrameMag_0_B 0.0010024741840809785 -1
CovDayMaxX1 0.002262551830766825 -1
CovDayMaxColor 0.00033477119591254556 -1
CovRestFrameMag_0_BDayMax 0.0010024741840809804 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0004813797528125436 -1
CovRestFrameMag_0_BX1 0.001201223196429113 -1
CovRestFrameMag_0_BColor 0.0002474494981651309 -1
CovX1DayMax 0.002262551830766827 -1
CovX1RestFrameMag_0_B 0.0012012231964291127 -1
CovX1X1 0.012925692213749685 -1
CovX1Color 0.0003192747674681432 -1
CovColorDayMax 0.00033477119591255016 -1
CovColorRestFrameMag_0_B 0.00024744949816513106 -1
CovColorX1 0.0003192747674681437 -1
CovColorColor 0.000257534404848123 -1

dmu_estimate 0.04113934577037298
FirstPhase  -14.602029658221129
LastPhase  42.22764210558868
LatestNegPhase  -1.093711084067325
EarliestPosPhase  0.7537331027776826
NightsNegPhase  5
NightsPosPhase  14

salt3source   1
salt2_version   salt3-f22
