#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6148.42279208455     All      1.2226507584612867         0.11731869290940722        0.7586495062484544         -0.32618797498235874       
Zeropoint     AB|SDSS|SDSS_r            5070.133297348667    All      0.8226811564581579         0.29589167815871065        -1.0070318610184703        -0.21653187076839664       
Zeropoint     AB|SDSS|SDSS_z            7309.962175548653    All      0.08296749881894572        0.006478875114623861       0.09422076641034671        -0.020710221076906954      
Zeropoint     AB|SDSS|SDSS_g            3880.101934221704    All      -1.129211197563067         0.5797791623770365         0.16197164352649285        0.5639024348870466         
Check         All|All|All               All                  All      0.9990882161753236         0.9994684085597783         0.007810055166823648       0.00047236805938422055     
Lambda        AB|SDSS|SDSS_i            6148.42279208455     All      -0.0002951914781784729     -3.4862071887381836e-05    -0.00041582448999189696    6.624151503654761e-05      
Lambda        AB|SDSS|SDSS_r            5070.133297348667    All      -8.570663303607103e-05     -5.9152231827061954e-05    -0.0015140662421756512     -5.8916180445946315e-05    
Lambda        AB|SDSS|SDSS_z            7309.962175548653    All      -2.6226960814885274e-05    -1.4531773811172043e-06    -1.734733309957699e-05     7.2955044948293235e-06     
Lambda        AB|SDSS|SDSS_g            3880.101934221704    All      -0.0011562307558031046     0.00039084408286879554     -0.00139331530320263       0.0004417559094896221      
MWEBV         All|All|All               All                  All      -0.5617172778778263        -3.1491115451284912        0.11192001965019127        -0.8378049591396055        
Redshift      All|All|All               All                  All      5.76024627492015           0.9393742703451835         2.9607602256951138         -1.4381914832751586        
