#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i                             7020.818581218784     All      0.6626760931777098         0.0342730578945627         1.730640445073111          -0.12746100791795797       
Zeropoint     AB|SDSS|SDSS_z                             8347.168047091696     All      0.17244626139606717        -0.0030757813340720475     0.3493981152502156         -0.04158127066477514       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5875.0885091453       All      0.09995098044673437        0.04736321854874603        -1.4618073077456606        -0.08236331044271787       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4122.694925951057     All      -0.04655499923132957       0.03616905512391355        -0.10519422516187839       0.02225161091467941        
Zeropoint     AB|SDSS|SDSS_r                             5789.5312776974815    All      0.40886570992210913        0.07724223437168831        -1.2469399002750192        -0.16366587683651418       
Zeropoint     AB|SDSS|SDSS_g                             4430.647123336614     All      -0.28116508029502485       0.5032900321679357         0.8098139917889352         0.291661117048223          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5098.512366692379     All      -0.0725867076212411        0.10447370901065511        -1.2139808612193301        0.0035000125878983665      
Zeropoint     AB|SDSS|SDSS_u                             3369.447542525113     All      -0.2148535774641214        0.17016039417825368        0.4372806488585815         0.14492554414853445        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7157.754565728604     All      0.2649292330726735         0.028957145280372742       0.7125426083652245         -0.0450663682235391        
Check         All|All|All                                All                   All      0.9937079134035772         0.9988530652420557         0.01175351493417931        0.002200450613830951       
Lambda        AB|SDSS|SDSS_i                             7020.818581218784     All      -0.00030892897558654187    -2.497530469147851e-05     -0.0008635596980500953     5.3956349271075024e-05     
Lambda        AB|SDSS|SDSS_z                             8347.168047091696     All      -4.590137953076491e-05     1.207917564072305e-06      -0.00011919697297895636    1.0025834461472374e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5875.0885091453       All      -4.313638499010463e-06     -3.535775273492235e-06     0.0001438463585846808      6.672577964696905e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4122.694925951057     All      -4.180476394709842e-05     1.3580167928550143e-05     -0.0002204933451029181     8.201089119396997e-06      
Lambda        AB|SDSS|SDSS_r                             5789.5312776974815    All      -3.9965922297224156e-05    -9.114342772438372e-06     5.2125491824157145e-05     1.2375495734428441e-05     
Lambda        AB|SDSS|SDSS_g                             4430.647123336614     All      -1.2255539110994777e-05    1.6406922104628966e-05     -7.072675010181493e-05     6.18009656406355e-06       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5098.512366692379     All      -9.13613114471727e-05      2.8225063103648055e-06     -0.0009517797284328035     -1.1794789914578688e-05    
Lambda        AB|SDSS|SDSS_u                             3369.447542525113     All      -0.00014364795337259628    0.00010064916485570811     0.00010792080796598283     8.439161854060067e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7157.754565728604     All      -0.00011458021110558899    -1.1116717056315737e-05    -0.00023794899495662743    2.3082893074988694e-05     
MWEBV         All|All|All                                All                   All      -0.8904565434998073        -3.627447984815646         0.752555837607721          -0.8579450461119157        
Redshift      All|All|All                                All                   All      6.093895870734005          0.7005150512481073         7.720074376912184          -1.4122901074426477        
