#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4343.506529454084    All      -1.0173879975119426        0.6787567631640457        0.12411640322176343       0.5580288950870912         
Zeropoint     AB|SDSS|SDSS_u            3303.178292968954    All      -0.03475915413261353       0.06348238829190223       0.15134632094362388       0.0387543936136131         
Zeropoint     AB|SDSS|SDSS_r            5675.664571594262    All      0.6322249605641572         0.3106544654169596        -1.1924783218162593       -0.1579609202723209        
Zeropoint     AB|SDSS|SDSS_i            6882.735298195292    All      1.255849703729265          -0.12494732063750291      0.8512045105164789        -0.411785669845606         
Zeropoint     AB|SDSS|SDSS_z            8182.998534013192    All      0.2571191833686709         -0.037799131535365404     0.08566976210342414       -0.09224154967292092       
Check         All|All|All               All                  All      1.093046696017537          0.8901471647000392        0.019858674969031043      -0.06520485109014351       
Lambda        AB|SDSS|SDSS_g            4343.506529454084    All      -0.0009073351649108182     0.0005573529478660209     -0.0007812089044500114    0.0004422353396961523      
Lambda        AB|SDSS|SDSS_u            3303.178292968954    All      -2.0480815317452854e-05    5.380925735222177e-05     0.00015368792327500393    3.1057106891970736e-05     
Lambda        AB|SDSS|SDSS_r            5675.664571594262    All      -0.00013650190178065734    -0.0005200317942137672    -0.002106969035860781     -0.00021895265483584266    
Lambda        AB|SDSS|SDSS_i            6882.735298195292    All      -0.0007415986683548809     5.929885605508288e-05     -0.0010366104977380516    0.0002146195069120035      
Lambda        AB|SDSS|SDSS_z            8182.998534013192    All      2.5862913218771448e-05     2.3323168867626754e-05    0.00011724061794896752    4.404632022105492e-06      
MWEBV         All|All|All               All                  All      -0.6747264758643663        -3.6855026175397043       0.1643505127658207        -0.9733746323864562        
Redshift      All|All|All               All                  All      6.895877695961337          -1.110739318021814        10.453575324942621        -2.1415235161127075        
