Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54362.43419187523 0.4644993717184763
Redshift 0.212 0 F
Color -0.018691858871556215 0.03082964542000677
X0 6.815716136369194e-05 2.254137905016629e-06
X1 1.1062415399131815 0.3425987736819813
RestFrameMag_0_UX 20.609078376952677 0.0
RestFrameMag_0_B 21.05943784133274 0.035908172890808686
RestFrameMag_0_V 21.04522969673733 0.0
RestFrameMag_0_R 21.084248341977098 0.0
CovDayMaxDayMax 0.2157596663268592 -1
CovDayMaxRestFrameMag_0_B 0.003938052742056154 -1
CovDayMaxX1 0.00704459841952789 -1
CovDayMaxColor 0.0012072008376930955 -1
CovRestFrameMag_0_BDayMax 0.003938052742056138 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0012893968803562078 -1
CovRestFrameMag_0_BX1 0.00693366260735862 -1
CovRestFrameMag_0_BColor 0.00048136915217947073 -1
CovX1DayMax 0.007044598419527855 -1
CovX1RestFrameMag_0_B 0.00693366260735862 -1
CovX1X1 0.11737391972839742 -1
CovX1Color 0.00023082294998045595 -1
CovColorDayMax 0.0012072008376930946 -1
CovColorRestFrameMag_0_B 0.0004813691521794708 -1
CovColorX1 0.00023082294998045703 -1
CovColorColor 0.0009504670367233446 -1

dmu_estimate 0.10583240555294064
FirstPhase  -13.27175814788194
LastPhase  44.43870554848635
LatestNegPhase  -2.55884725679412
EarliestPosPhase  2.421103238255683
NightsNegPhase  4
NightsPosPhase  14

salt3source   1
salt2_version   salt3-f22
