#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4526.059527249498     All      0.5315872736190564        0.4943718638028116         0.11870267155617487       -0.0068251282778661        
Zeropoint     AB|SDSS|SDSS_z            6525.533355459672     All      0.1679487898672981        0.020709219905157283       0.025796774282497142      -0.04680958041870969       
Zeropoint     AB|SDSS|SDSS_g            3463.7299053393435    All      -0.9499008970436397       0.22227240922134683        -0.20955274370593016      0.3724640326961805         
Zeropoint     AB|SDSS|SDSS_i            5488.638251429099     All      1.2466629839920447        0.2604539822659291         0.06376139353601191       -0.31839533902660655       
Check         All|All|All               All                   All      0.9962981504347597        0.9978074751952448         -0.0012919043312462491    0.0004339849729981804      
Lambda        AB|SDSS|SDSS_r            4526.059527249498     All      -0.0004113773520247219    -0.00020856601162844816    -0.0019177791248967387    -1.9519348441231103e-05    
Lambda        AB|SDSS|SDSS_z            6525.533355459672     All      -4.586187520157906e-05    -1.1725822090712112e-05    -8.645240494115536e-05    7.261261770009338e-06      
Lambda        AB|SDSS|SDSS_g            3463.7299053393435    All      -0.0017957192004695772    0.0002844062428252583      -0.0014073177767531125    0.0006147631621757848      
Lambda        AB|SDSS|SDSS_i            5488.638251429099     All      2.6064670001517523e-05    -4.9224663792875214e-05    -0.0010233701650717683    -7.019252326033389e-05     
MWEBV         All|All|All               All                   All      -0.6140082064912429       -2.6449383243885904        0.055038625621045556      -0.6590846339372197        
Redshift      All|All|All               All                   All      6.670404548820459         0.8646770155577244         6.103366983827815         -1.6187512236085748        
