#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3442.312360509721    All      -0.8462551690068473       0.20848371966781798        -0.012198067791513445      0.34301881217825014        
Zeropoint     AB|SDSS|SDSS_r            4498.07319878983     All      0.7329883021680577        0.4700458392070672         -0.6124910875690309        -0.11298167490486899       
Zeropoint     AB|SDSS|SDSS_z            6485.183528251057    All      0.10151406710028307       0.024795825676271477       0.13452709038303534        -0.018986329003757574      
Zeropoint     AB|SDSS|SDSS_i            5454.699936659707    All      1.0097574315192621        0.29504270887894535        0.4836161407816675         -0.21122453138541636       
Check         All|All|All               All                  All      0.9980046317807556        0.998368093430102          -0.006545924195841546      -0.00017372311579277877    
Lambda        AB|SDSS|SDSS_g            3442.312360509721    All      -0.0010402779826790146    0.0001188635886931607      -0.0021833501357921194     0.00028013765562496905     
Lambda        AB|SDSS|SDSS_r            4498.07319878983     All      -0.0007373649233937667    -0.0002669710186763063     -0.002912776373054209      2.323893863486444e-05      
Lambda        AB|SDSS|SDSS_z            6485.183528251057    All      -4.501336029841053e-05    -1.2652963703167792e-05    -0.00018744248801307758    2.176148448681142e-06      
Lambda        AB|SDSS|SDSS_i            5454.699936659707    All      0.00017725648907223907    4.088141119813228e-05      0.00046320282016018436     -2.3751235020248058e-05    
MWEBV         All|All|All               All                  All      -0.7461886064902206       -2.607178892433204         -0.02322126550508563       -0.6072220193215572        
Redshift      All|All|All               All                  All      5.35566730488701          1.3470892592076567         9.579832300535262          -0.8782218307837208        
