Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54406.35118263883 0.4129319800729339
Redshift 0.207 0 F
Color -0.038790904088212036 0.027112825629194627
X0 7.772647942254735e-05 2.327420235648218e-06
X1 0.5100865458243699 0.4149112706949099
RestFrameMag_0_UX 20.46613189548666 0.0
RestFrameMag_0_B 20.91683751829671 0.03251098508903944
RestFrameMag_0_V 20.92841255395296 0.0
RestFrameMag_0_R 20.96837173055812 0.0
CovDayMaxDayMax 0.17051282016695388 -1
CovDayMaxRestFrameMag_0_B 0.006855522753006918 -1
CovDayMaxX1 0.06758073851530083 -1
CovDayMaxColor 0.0033102155857663053 -1
CovRestFrameMag_0_BDayMax 0.006855522753006918 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0010569641514597448 -1
CovRestFrameMag_0_BX1 0.008693295704234804 -1
CovRestFrameMag_0_BColor 0.0005627709286934064 -1
CovX1DayMax 0.06758073851530082 -1
CovX1RestFrameMag_0_B 0.008693295704234804 -1
CovX1X1 0.17215136254966482 -1
CovX1Color 0.004088399113891629 -1
CovColorDayMax 0.003310215585766306 -1
CovColorRestFrameMag_0_B 0.0005627709286934064 -1
CovColorX1 0.004088399113891629 -1
CovColorColor 0.000735105313599113 -1

dmu_estimate 0.08187696317923708
FirstPhase  -11.684097463816563
LastPhase  14.749200796329077
LatestNegPhase  -1.8091231473317821
EarliestPosPhase  1.4984775154717118
NightsNegPhase  4
NightsPosPhase  7

salt3source   1
salt2_version   salt3-f22
