#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3104.4474369543937    All      -0.24485666475145407      0.04294075457380586        0.1522891954424288        0.10054105508171748       
Zeropoint     AB|MEGACAMPSF|i           4830.660061841378     All      1.898145245446209         0.636419950776812          1.1694507480646155        -0.3587982222099495       
Zeropoint     AB|MEGACAMPSF|r           3954.8041089657936    All      -0.9754602459150375       0.24049159980528145        -1.6485919614736666       0.32250643224704456       
Zeropoint     AB|MEGACAMPSF|z           5570.211915030658     All      0.4865425138369491        0.051708371828418365       0.1824099070740437        -0.13349966929621718      
Check         All|All|All               All                   All      1.1643708486166666        0.9715606769843177         -0.14444211089257863      -0.0692504041774046       
Lambda        AB|MEGACAMPSF|g           3104.4474369543937    All      -0.0009509105996141638    0.00017473776713630408     0.0006535020717439524     0.0003958235018173907     
Lambda        AB|MEGACAMPSF|i           4830.660061841378     All      -0.0004572969570397994    -0.00012558477039255767    -0.0013635692933818139    4.7199737281411466e-05    
Lambda        AB|MEGACAMPSF|r           3954.8041089657936    All      -0.000852134425698095     0.00010799263976217887     -0.0023356190449146863    0.00020851702159835892    
Lambda        AB|MEGACAMPSF|z           5570.211915030658     All      4.954268041465513e-05     -4.252690315196719e-06     0.00014732475219401015    -1.0948495009535e-05      
MWEBV         All|All|All               All                   All      -0.39628163084442836      -2.1407967003877815        0.2151752310194599        -0.5586436686950121       
Redshift      All|All|All               All                   All      3.002809229544391         0.14185723217075008        0.09515352732331062       -0.9276599231694944       
