Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 53527.65931022606 0.21701860901220218
Redshift 0.461 0 F
Color -0.03562171868698051 0.01754617816131989
X0 1.1618791521501668e-05 1.8695311165180323e-07
X1 -0.8054570496536114 0.153618918992007
RestFrameMag_0_UX 22.587376688785724 0.0
RestFrameMag_0_B 22.980705627757242 0.01747012686619902
RestFrameMag_0_V 23.000729338649034 0.0
RestFrameMag_0_R 23.01704943312332 0.0
CovDayMaxDayMax 0.04709707665759109 -1
CovDayMaxRestFrameMag_0_B 0.0004517368033435236 -1
CovDayMaxX1 -0.0031278212147885795 -1
CovDayMaxColor 0.0004957527521333861 -1
CovRestFrameMag_0_BDayMax 0.000451736803343523 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0003052053327210888 -1
CovRestFrameMag_0_BX1 0.001041608485726002 -1
CovRestFrameMag_0_BColor 0.00016899618678134363 -1
CovX1DayMax -0.0031278212147885674 -1
CovX1RestFrameMag_0_B 0.001041608485726002 -1
CovX1X1 0.023598772272272805 -1
CovX1Color 0.0001981802126405545 -1
CovColorDayMax 0.0004957527521333892 -1
CovColorRestFrameMag_0_B 0.00016899618678134363 -1
CovColorX1 0.00019818021264055415 -1
CovColorColor 0.0003078683680687791 -1

dmu_estimate 0.052257230874715385
FirstPhase  -13.250725685185865
LastPhase  40.130520036920885
LatestNegPhase  -0.19117743056952763
EarliestPosPhase  2.4850717138544915
NightsNegPhase  7
NightsPosPhase  13

salt3source   1
salt2_version   salt3-f22
